driverId,week,hours-logged,miles-logged
172,20,57,3700
871,37,57,2800
824,13,65,0
716,52,76,2600
77,28,71,3800
957,22,74,0
23,30,65,300
165,17,50,3700
397,23,52,3600
201,2,73,3600
846,7,52,3700
633,48,61,2600
618,6,72,2700
969,34,63,2200
75,6,52,1200
348,23,51,0
527,49,78,1400
670,38,50,500
91,7,52,1500
162,20,61,900
531,24,56,2000
831,40,78,300
120,18,64,3200
814,29,59,3900
526,35,57,2700
646,32,71,2200
804,20,65,1300
162,24,79,1400
904,47,56,1100
401,47,74,3100
851,42,52,300
559,35,59,1300
856,50,59,100
488,41,73,3400
66,20,64,2400
678,38,68,3900
321,44,57,2900
652,25,74,3500
250,44,80,400
717,28,66,1100
793,34,78,2100
419,10,80,2000
33,26,76,500
238,41,60,1500
475,49,70,600
275,22,53,3700
782,40,55,2800
88,28,67,2500
936,3,52,2100
612,9,57,100
439,40,57,300
915,9,56,100
902,24,70,1300
484,4,67,2600
410,23,66,3800
654,22,63,2800
678,45,60,1800
810,17,70,3400
971,9,73,300
44,37,55,3100
831,45,51,2200
769,12,53,2700
990,15,74,400
539,14,78,3300
586,11,56,2800
275,45,73,3200
456,51,57,300
69,4,67,200
371,8,71,4000
22,38,58,2900
567,50,80,3100
362,27,71,500
845,41,75,2000
456,26,60,1900
177,21,55,2900
462,52,51,2900
384,36,66,2700
64,18,65,700
761,11,73,700
590,21,53,400
445,52,55,3200
963,12,71,100
345,20,63,900
453,19,66,1200
334,35,59,3700
126,3,74,3100
766,7,58,2900
558,31,74,3400
396,24,67,1900
64,13,67,1500
1001,42,59,2400
455,11,78,2200
913,45,74,3300
1006,48,78,1200
26,35,70,2500
351,26,55,1700
702,43,71,1100
945,32,51,0
986,3,59,1200
839,27,56,3700
389,51,71,300
680,14,67,2700
952,50,51,3600
586,49,66,3700
45,34,77,600
778,21,74,3100
294,1,66,1600
935,37,51,300
520,52,65,2200
608,34,79,3500
770,8,59,3700
60,37,61,3500
903,11,70,600
779,40,51,300
819,11,74,3300
569,10,58,300
876,6,62,2100
47,26,77,100
506,13,68,2600
864,34,74,1800
327,38,74,1600
477,48,75,2600
166,21,65,3600
125,27,79,3600
779,16,52,3000
720,43,55,3900
644,27,63,3600
939,8,69,1000
442,46,50,800
298,13,67,2100
1002,52,76,3200
209,9,58,2800
675,49,51,3100
320,42,54,2100
660,22,74,1100
506,35,55,1300
530,40,61,1000
591,32,71,2200
566,17,77,1200
967,27,69,3000
216,26,67,3600
356,7,71,0
906,39,61,1000
548,19,51,1300
472,42,75,1900
299,20,80,2100
393,49,61,2000
664,28,66,1400
581,22,62,300
654,23,59,2600
312,23,55,400
864,27,57,3300
490,4,72,200
147,10,60,1000
540,43,77,2000
293,43,72,400
979,36,71,600
453,29,63,2900
19,38,64,3800
155,23,78,1500
456,51,54,1900
323,17,69,300
127,36,70,600
288,48,50,900
212,6,56,100
67,15,50,1500
917,47,52,2000
548,46,76,3200
532,46,72,200
142,18,76,3900
708,49,55,1900
923,13,79,2000
85,49,79,400
592,50,77,300
677,41,68,800
145,30,52,3900
309,32,66,3100
800,44,66,1900
293,36,57,3300
1001,13,73,0
653,12,68,800
754,17,64,500
160,40,68,2900
899,48,57,2500
571,18,58,400
357,8,70,500
638,22,66,4000
261,16,59,1400
178,29,71,2300
536,4,80,2300
767,27,67,700
955,6,59,3000
585,25,71,2800
300,48,65,500
126,46,52,600
759,46,57,200
447,5,76,1700
871,5,70,300
440,43,68,3700
554,14,57,1600
911,23,55,400
510,41,54,2000
85,34,62,2600
511,50,56,2200
375,21,73,1500
474,15,64,1800
85,19,74,500
266,47,64,1700
611,37,56,1200
709,27,71,1800
766,24,55,600
329,18,68,900
783,21,68,3100
95,1,71,1200
388,10,56,3200
383,41,79,100
338,34,55,700
215,31,78,3500
312,37,76,2700
645,31,79,2700
729,32,54,800
846,39,58,4000
694,16,71,1100
331,45,53,2700
63,36,56,1000
179,28,51,3300
218,52,62,1500
14,22,79,0
139,18,61,3900
650,25,65,800
158,20,53,3600
68,42,57,300
790,12,65,3000
129,22,60,200
466,33,58,3900
448,4,70,1200
720,25,60,3400
559,35,52,2100
497,42,55,2500
288,12,51,500
528,28,55,600
698,28,80,3400
586,35,61,2700
350,19,50,2000
317,39,53,1400
28,33,66,2800
901,34,64,500
291,37,64,2500
363,11,58,900
580,4,73,2900
774,34,60,1300
512,26,68,2300
306,52,55,1900
768,8,52,100
399,34,62,3700
541,45,77,2100
854,20,78,400
380,28,68,1600
156,10,50,900
367,40,60,2300
768,4,74,3200
217,43,57,2800
71,49,56,2200
314,34,64,1700
45,46,76,2500
857,50,79,2800
572,5,64,3200
410,14,67,600
791,45,80,100
658,32,54,2600
19,1,61,2600
212,10,79,4000
768,16,63,1700
379,4,64,3500
521,49,71,2700
870,18,60,1800
102,36,53,1600
916,26,55,3500
487,20,71,3800
783,15,75,2700
628,47,68,900
482,39,59,2900
296,27,58,3200
961,17,67,2700
234,52,58,3500
122,23,77,3800
149,52,69,3000
762,3,76,100
52,33,59,500
116,34,61,3100
310,29,71,0
524,24,58,3100
417,24,74,1000
365,10,80,3600
313,50,69,300
265,5,67,3300
186,13,74,3300
319,5,74,2200
443,44,77,3000
891,28,61,3900
202,11,79,100
26,9,52,2600
226,20,71,2400
223,49,79,1900
152,51,79,900
748,52,68,900
251,20,51,700
429,10,53,400
289,48,57,1300
621,25,56,2500
528,7,69,3200
595,15,62,3600
439,26,57,0
557,29,56,1400
312,51,72,3400
699,41,50,2000
520,25,61,1700
21,34,73,2800
103,46,63,2800
666,42,71,2500
493,18,79,1100
360,14,60,1900
562,11,61,1200
954,21,60,3000
942,30,64,2100
908,40,54,2600
892,8,67,2100
284,3,78,3500
547,45,67,3300
228,34,62,2100
72,32,54,4000
821,20,68,3800
841,52,66,900
26,31,75,1900
959,32,73,2100
521,11,77,300
217,26,69,2200
696,2,74,2900
777,10,68,500
118,2,61,700
173,1,80,1300
447,30,68,3500
824,49,58,2100
559,20,67,2800
613,22,69,3200
769,3,70,0
67,5,77,1900
291,23,67,1000
845,6,55,2800
74,31,57,3500
797,26,71,1900
322,48,64,3600
450,45,68,3800
490,42,59,1000
41,25,67,0
86,20,72,3300
76,43,73,4000
583,42,80,200
124,11,67,3800
568,51,60,2100
678,34,63,500
92,44,55,1900
169,43,67,2000
269,49,52,3100
837,26,73,3100
792,31,53,3600
742,40,50,3700
407,52,77,3900
171,44,80,0
264,25,64,2600
736,47,73,3900
748,38,61,2800
645,43,78,2400
757,48,54,1500
662,26,75,3200
953,12,68,600
84,27,65,3200
611,4,55,1000
443,33,65,2600
138,27,58,2600
455,49,50,1100
450,37,56,1700
845,15,59,2200
699,43,58,3100
214,1,77,3400
861,46,79,2900
104,47,53,400
298,15,52,3200
115,41,68,3600
200,40,57,0
95,17,80,3800
138,39,73,200
964,19,56,3500
226,7,67,400
181,29,76,400
877,49,69,2000
393,13,71,2400
968,27,72,100
434,16,57,3800
947,18,70,3500
459,30,80,1400
747,21,67,3600
874,44,61,2700
463,50,54,1200
766,10,72,1800
988,40,71,2800
751,37,71,3500
168,40,78,4000
591,45,58,900
541,41,62,1100
336,16,78,2500
294,44,77,1900
374,40,72,1000
93,8,69,2900
178,37,69,3100
496,28,72,600
430,9,68,2700
913,44,67,3800
870,12,70,100
832,2,76,1800
877,2,53,1200
736,16,73,1300
350,43,55,3200
978,12,65,900
443,50,73,2400
76,49,58,1300
768,11,70,0
656,34,75,3500
94,22,61,1800
716,21,64,800
328,37,51,1000
577,8,68,200
608,39,57,3400
716,33,78,600
188,8,76,2200
312,52,59,3500
778,18,79,1000
519,48,58,2600
552,11,74,0
415,33,52,100
668,7,63,2300
726,3,71,700
561,22,76,200
915,5,57,1300
848,46,60,3700
400,19,65,2400
865,17,57,900
56,35,71,1000
405,20,70,3400
930,48,61,4000
220,18,69,3400
905,21,53,500
506,14,68,1700
811,40,72,2600
547,11,56,1900
554,14,70,3000
549,36,63,1900
133,17,52,300
428,50,74,300
687,24,55,1500
557,25,52,400
866,6,79,3100
603,17,59,2000
558,38,79,3300
248,8,54,1900
560,49,62,2600
486,18,68,400
724,15,77,400
934,12,63,1800
540,2,74,500
71,28,77,3400
186,41,68,700
448,29,53,1500
160,26,80,0
483,42,75,1400
343,35,80,2100
428,38,69,3300
159,14,69,2300
584,42,50,0
483,22,70,4000
765,50,61,1500
881,50,67,100
229,16,52,1300
163,16,78,300
993,51,62,900
405,35,51,1600
153,32,66,2800
197,26,53,2400
210,8,61,1100
508,12,73,200
401,22,70,600
312,36,78,2300
991,33,73,2600
244,38,68,1700
312,9,56,800
371,35,72,800
790,11,59,4000
829,29,68,1200
415,49,77,2400
516,4,55,1100
111,33,77,500
491,13,66,2000
759,18,64,2700
953,6,64,2200
976,41,58,3400
153,16,50,4000
928,43,80,3200
460,5,50,3600
305,48,66,400
500,38,61,1200
301,42,63,1700
415,8,75,1700
217,37,74,2000
946,13,51,3700
623,27,60,300
